organismo,nombre,cargo,grado,estamento,sueldo_bruto,fuente,archivo_origen
SII - Escala Oficial,,Directivo Grado 1,1.0,Directivo,7738744.0,sii_escala,escala.csv
SII - Escala Oficial,,Directivo Grado 2,2.0,Directivo,6358918.0,sii_escala,escala.csv
SII - Escala Oficial,,Directivo Grado 4,4.0,Directivo,5603864.0,sii_escala,escala.csv
SII - Escala Oficial,,Directivo Grado 5,5.0,Directivo,5328191.0,sii_escala,escala.csv
SII - Escala Oficial,,Directivo Grado 6,6.0,Directivo,4983345.0,sii_escala,escala.csv
SII - Escala Oficial,,Directivo Grado 7,7.0,Directivo,4742765.0,sii_escala,escala.csv
SII - Escala Oficial,,Directivo Grado 8,8.0,Directivo,4434419.0,sii_escala,escala.csv
SII - Escala Oficial,,Directivo Grado 9,9.0,Directivo,4173512.0,sii_escala,escala.csv
SII - Escala Oficial,,Directivo Grado 10,10.0,Directivo,3928829.0,sii_escala,escala.csv
SII - Escala Oficial,,Directivo Grado 11,11.0,Directivo,3517872.0,sii_escala,escala.csv
SII - Escala Oficial,,Directivo Grado 12,12.0,Directivo,3102429.0,sii_escala,escala.csv
SII - Escala Oficial,,Directivo Grado 15,15.0,Directivo,2166267.0,sii_escala,escala.csv
SII - Escala Oficial,,Profesional Grado 5,5.0,Profesional,5328191.0,sii_escala,escala.csv
SII - Escala Oficial,,Profesional Grado 6,6.0,Profesional,4983345.0,sii_escala,escala.csv
SII - Escala Oficial,,Profesional Grado 7,7.0,Profesional,4742765.0,sii_escala,escala.csv
SII - Escala Oficial,,Profesional Grado 8,8.0,Profesional,4350819.0,sii_escala,escala.csv
SII - Escala Oficial,,Profesional Grado 9,9.0,Profesional,4095593.0,sii_escala,escala.csv
SII - Escala Oficial,,Profesional Grado 10,10.0,Profesional,3855644.0,sii_escala,escala.csv
SII - Escala Oficial,,Profesional Grado 11,11.0,Profesional,3386071.0,sii_escala,escala.csv
SII - Escala Oficial,,Profesional Grado 12,12.0,Profesional,2985993.0,sii_escala,escala.csv
SII - Escala Oficial,,Profesional Grado 13,13.0,Profesional,2602630.0,sii_escala,escala.csv
SII - Escala Oficial,,Profesional Grado 14,14.0,Profesional,2307359.0,sii_escala,escala.csv
SII - Escala Oficial,,Profesional Grado 15,15.0,Profesional,2004018.0,sii_escala,escala.csv
SII - Escala Oficial,,Profesional Grado 16,16.0,Profesional,1763382.0,sii_escala,escala.csv
SII - Escala Oficial,,Fiscalizador Grado 9,9.0,Fiscalizador,4173512.0,sii_escala,escala.csv
SII - Escala Oficial,,Fiscalizador Grado 10,10.0,Fiscalizador,3928829.0,sii_escala,escala.csv
SII - Escala Oficial,,Fiscalizador Grado 11,11.0,Fiscalizador,3517872.0,sii_escala,escala.csv
SII - Escala Oficial,,Fiscalizador Grado 12,12.0,Fiscalizador,3044211.0,sii_escala,escala.csv
SII - Escala Oficial,,Fiscalizador Grado 13,13.0,Fiscalizador,2705497.0,sii_escala,escala.csv
SII - Escala Oficial,,Fiscalizador Grado 14,14.0,Fiscalizador,2383499.0,sii_escala,escala.csv
SII - Escala Oficial,,Fiscalizador Grado 15,15.0,Fiscalizador,2085142.0,sii_escala,escala.csv
SII - Escala Oficial,,Técnico Grado 14,14.0,Técnico,2353043.0,sii_escala,escala.csv
SII - Escala Oficial,,Técnico Grado 15,15.0,Técnico,2085142.0,sii_escala,escala.csv
SII - Escala Oficial,,Técnico Grado 16,16.0,Técnico,1834639.0,sii_escala,escala.csv
SII - Escala Oficial,,Técnico Grado 17,17.0,Técnico,1402452.0,sii_escala,escala.csv
SII - Escala Oficial,,Técnico Grado 18,18.0,Técnico,1203568.0,sii_escala,escala.csv
SII - Escala Oficial,,Técnico Grado 19,19.0,Técnico,991959.0,sii_escala,escala.csv
SII - Escala Oficial,,Administrativo Grado 16,16.0,Administrativo,1763382.0,sii_escala,escala.csv
SII - Escala Oficial,,Administrativo Grado 17,17.0,Administrativo,1383691.0,sii_escala,escala.csv
SII - Escala Oficial,,Administrativo Grado 18,18.0,Administrativo,1179166.0,sii_escala,escala.csv
SII - Escala Oficial,,Administrativo Grado 19,19.0,Administrativo,968307.0,sii_escala,escala.csv
SII - Escala Oficial,,Administrativo Grado 20,20.0,Administrativo,801838.0,sii_escala,escala.csv
SII - Escala Oficial,,Administrativo Grado 21,21.0,Administrativo,659267.0,sii_escala,escala.csv
SII - Escala Oficial,,Administrativo Grado 22,22.0,Administrativo,552028.0,sii_escala,escala.csv
SII - Escala Oficial,,Auxiliar Grado 19,19.0,Auxiliar,968307.0,sii_escala,escala.csv
SII - Escala Oficial,,Auxiliar Grado 20,20.0,Auxiliar,801838.0,sii_escala,escala.csv
SII - Escala Oficial,,Auxiliar Grado 21,21.0,Auxiliar,659267.0,sii_escala,escala.csv
Ministerio del Trabajo,,MINISTRO,,Funcionario,683261.0,ministerio_trabajo,funcionarios_reales.csv
Ministerio del Trabajo,,SUBSECRETARIO,,Funcionario,657282.0,ministerio_trabajo,funcionarios_reales.csv
Ministerio del Trabajo,,DIRECTIVO PROFESIONAL,,Funcionario,686474.0,ministerio_trabajo,funcionarios_reales.csv
Ministerio del Trabajo,,DIRECTIVO PROFESIONAL,,Funcionario,647652.0,ministerio_trabajo,funcionarios_reales.csv
Ministerio del Trabajo,,DIRECTIVO PROFESIONAL,,Funcionario,611009.0,ministerio_trabajo,funcionarios_reales.csv
Ministerio del Trabajo,,DIRECTIVO PROFESIONAL,,Funcionario,576444.0,ministerio_trabajo,funcionarios_reales.csv
Ministerio del Trabajo,,DIRECTIVO PROFESIONAL,,Funcionario,543772.0,ministerio_trabajo,funcionarios_reales.csv
Ministerio del Trabajo,,DIRECTIVO PROFESIONAL,,Funcionario,501225.0,ministerio_trabajo,funcionarios_reales.csv
Ministerio del Trabajo,,DIRECTIVO PROFESIONAL,,Funcionario,464060.0,ministerio_trabajo,funcionarios_reales.csv
Ministerio del Trabajo,,DIRECTIVO PROFESIONAL,,Funcionario,429642.0,ministerio_trabajo,funcionarios_reales.csv
