Sistema Remunetario,Año,Fecha de Actualización,Documento
Montos zona extrema EUS y Fisc. (Dic. 2024 - Ene. y Jun. 2025),2025,diciembre 2024 ley N° 21.724 (Excel),Descargar Documento
Escala única de sueldos - Junio 2025,2025,diciembre 2024 ley N° 21.724 (Excel),Descargar Documento
Escala única de sueldos - Junio 2025,2025,diciembre 2024 ley N° 21.724,Descargar Documento
Escala única de sueldos - Enero 2025,2025,diciembre 2024 ley N° 21.724 (Excel),Descargar Documento
Escala única de sueldos - Enero 2025,2025,diciembre 2024 ley N° 21.724,Descargar Documento
Escala profesionales Funcionarios - Junio 2025,2025,diciembre 2024 ley N° 21.724 (Excel),Descargar Documento
Escala profesionales Funcionarios - Junio 2025,2025,diciembre 2024 ley N° 21.724,Descargar Documento
Escala profesionales Funcionarios - Enero 2025,2025,diciembre 2024 ley N° 21.724 (Excel),Descargar Documento
Escala profesionales Funcionarios - Enero 2025,2025,diciembre 2024 ley N° 21.724,Descargar Documento
Escala Fiscalizadora - Junio 2025,2025,diciembre 2024 ley N° 21.724 (Excel),Descargar Documento
Escala Fiscalizadora - Junio 2025,2025,diciembre 2024 ley N° 21.724,Descargar Documento
Escala Fiscalizadora - Enero 2025,2025,diciembre 2024 ley N° 21.724 (Excel),Descargar Documento
Escala Fiscalizadora - Enero 2025,2025,diciembre 2024 ley N° 21.724,Descargar Documento
Escala Contraloría - Junio 2025,2025,diciembre 2024 ley N° 21.724 (Excel),Descargar Documento
Escala Contraloría - Junio 2025,2025,diciembre 2024 ley N° 21.724,Descargar Documento
Escala Contraloría - Enero 2025,2025,diciembre 2024 ley N° 21.724 (Excel),Descargar Documento
Escala Contraloría - Enero 2025,2025,diciembre 2024 ley N° 21.724,Descargar Documento
Montos zona extrema EUS y Fisc.,2024,Junio 2024 Decreto N° 608 del Ministerio de Hacienda,Descargar Documento
Montos zona extrema EUS y Fisc.,2024,Diciembre 2023 Ley N° 21.647 (Excel),Descargar Documento
Escala única de sueldos,2024,Junio 2024 Decreto N° 608 del Ministerio de Hacienda,Descargar Documento
Escala única de sueldos,2024,Junio 2024 (Excel) Decreto N° 608 del Ministerio de Hacienda,Descargar Documento
Escala única de sueldos,2024,diciembre 2024 ley N° 21.724,Descargar Documento
Escala única de sueldos - Diciembre 2024,2024,diciembre 2024 ley N° 21.724 (Excel),Descargar Documento
Escala única de sueldos,2024,Diciembre 2023 Ley N° 21.647 (Excel),Descargar Documento
Escala única de sueldos,2024,Diciembre 2023 Ley N° 21.647,Descargar Documento
Escala profesionales Funcionarios,2024,Junio 2024 Decreto N° 608 del Ministerio de Hacienda,Descargar Documento
Escala profesionales Funcionarios,2024,Junio 2024 (Excel) Decreto N° 608 del Ministerio de Hacienda,Descargar Documento
Escala profesionales Funcionarios - Diciembre 2024,2024,diciembre 2024 ley N° 21.724 (Excel),Descargar Documento
Escala profesionales Funcionarios - Diciembre 2024,2024,diciembre 2024 ley N° 21.724,Descargar Documento
Escala profesionales Funcionarios,2024,Diciembre 2023 Ley N° 21.647 (Excel),Descargar Documento
Escala profesionales Funcionarios,2024,Diciembre 2023 Ley N° 21.647,Descargar Documento
Escala Fiscalizadora,2024,Junio 2024 Decreto N° 608 del Ministerio de Hacienda,Descargar Documento
Escala Fiscalizadora,2024,Junio 2024 (Excel) Decreto N° 608 del Ministerio de Hacienda,Descargar Documento
Escala Fiscalizadora - Diciembre 2024,2024,diciembre 2024 ley N° 21.724 (Excel),Descargar Documento
Escala Fiscalizadora - Diciembre 2024,2024,diciembre 2024 ley N° 21.724,Descargar Documento
Escala Fiscalizadora,2024,Diciembre 2023 Ley N° 21.647 (Excel),Descargar Documento
Escala Fiscalizadora,2024,Diciembre 2023 Ley N° 21.647,Descargar Documento
Escala Contraloría,2024,Junio 2024 Decreto N° 608 del Ministerio de Hacienda,Descargar Documento
Escala Contraloría,2024,Junio 2024 (Excel) Decreto N° 608 del Ministerio de Hacienda,Descargar Documento
Escala Contraloría - Diciembre 2024,2024,diciembre 2024 ley N° 21.724 (Excel),Descargar Documento
Escala Contraloría - Diciembre 2024,2024,diciembre 2024 ley N° 21.724,Descargar Documento
Escala Contraloría,2024,Diciembre 2023 Ley N° 21.647 (Excel),Descargar Documento
Escala Contraloría,2024,Diciembre 2023 Ley N° 21.647,Descargar Documento
Montos zona extrema EUS y Fisc.,2023,Diciembre 2022,Descargar Documento
Escala Única de Sueldos,2023,Diciembre 2023 (Excel),Descargar Documento
Escala Única de Sueldos,2023,Diciembre 2023,Descargar Documento
Escala Única de Sueldos,2023,Diciembre 2022 (Excel),Descargar Documento
Escala Única de Sueldos,2023,Diciembre 2022,Descargar Documento
Escala Única de Sueldos,2023,Agosto 2023 (Excel),Descargar Documento
Escala Única de Sueldos,2023,Agosto 2023,Descargar Documento
Escala Profesionales Funcionarios,2023,Agosto y Diciembre 2023 (Excel),Descargar Documento
Escala Profesionales Funcionarios,2023,Agosto y Diciembre 2023,Descargar Documento
Escala Fiscalizadora,2023,Diciembre 2023 (Excel),Descargar Documento
Escala Fiscalizadora,2023,Diciembre 2023,Descargar Documento
Escala Fiscalizadora,2023,Diciembre 2022 (Excel),Descargar Documento
Escala Fiscalizadora,2023,Diciembre 2022,Descargar Documento
Escala Fiscalizadora,2023,Agosto 2023 (Excel),Descargar Documento
Escala Fiscalizadora,2023,Agosto 2023,Descargar Documento
Escala Contraloría General,2023,Diciembre 2023 (Excel),Descargar Documento
Escala Contraloría General,2023,Diciembre 2023,Descargar Documento
Escala Contraloría General,2023,Diciembre 2022 (Excel),Descargar Documento
Escala Contraloría General,2023,Diciembre 2022,Descargar Documento
Escala Contraloría General,2023,Agosto 2023 (Excel),Descargar Documento
Escala Contraloría General,2023,Agosto 2023,Descargar Documento
Montos zona extrema EUS y Fisc.,2022,Diciembre 2021,Descargar Documento
Escala Única de Sueldos,2022,Diciembre 2021 (Excel),Descargar Documento
Escala Única de Sueldos,2022,Diciembre 2021,Descargar Documento
Escala Profesionales Funcionarios,2022,Diciembre 2021 (Excel),Descargar Documento
Escala Profesionales Funcionarios,2022,Diciembre 2021,Descargar Documento
Escala Fiscalizadora,2022,Diciembre 2021 (Excel),Descargar Documento
Escala Fiscalizadora,2022,Diciembre 2021,Descargar Documento
Escala Contraloría General,2022,Diciembre 2021 (Excel),Descargar Documento
Escala Contraloría General,2022,Diciembre 2021,Descargar Documento
Montos Zona Extrema,2021,Diciembre 2020 (excel),Descargar Documento
Escala Única de Sueldos,2021,Diciembre 2020 (Excel),Descargar Documento
Escala Única de Sueldos,2021,Diciembre 2020,Descargar Documento
Escala Profesionales Funcionarios,2021,Diciembre 2020 (Excel),Descargar Documento
Escala Profesionales Funcionarios,2021,Diciembre 2020,Descargar Documento
Escala Fiscalizadora,2021,Diciembre 2020 (Excel),Descargar Documento
Escala Fiscalizadora,2021,Diciembre 2020,Descargar Documento
Escala Contraloría General,2021,Diciembre 2020 (Excel),Descargar Documento
Escala Contraloría General,2021,Diciembre 2020,Descargar Documento
Montos Zona Extrema,2020,Diciembre 2019,Descargar Documento
Escala Única de Sueldos,2020,Diciembre 2019 (Excel),Descargar Documento
Escala Única de Sueldos,2020,Diciembre 2019,Descargar Documento
Escala Profesionales Funcionarios,2020,Diciembre 2019 (Excel),Descargar Documento
Escala Profesionales Funcionarios,2020,Diciembre 2019,Descargar Documento
Escala Fiscalizadora,2020,Diciembre 2019 (Excel),Descargar Documento
Escala Fiscalizadora,2020,Diciembre 2019,Descargar Documento
Escala Contraloría General,2020,Diciembre 2019 (Excel),Descargar Documento
Escala Contraloría General,2020,Diciembre 2019,Descargar Documento
Escala Única de Sueldos,2019,Diciembre 2018 (Excel),Descargar Documento
Escala Única de Sueldos,2019,Diciembre 2018,Descargar Documento
Escala Profesionales Funcionarios,2019,Diciembre 2018 (Excel),Descargar Documento
Escala Profesionales Funcionarios,2019,Diciembre 2018,Descargar Documento
Escala Fiscalizadora,2019,Diciembre 2018 (Excel),Descargar Documento
Escala Fiscalizadora,2019,Diciembre 2018,Descargar Documento
Escala Contraloría General,2019,Diciembre 2018 (Excel),Descargar Documento
Escala Contraloría General,2019,Diciembre 2018,Descargar Documento
